iter	Logloss
0	0.5727775882
1	0.4802784535
2	0.4155659949
3	0.3642551163
4	0.3270004251
5	0.2981224508
6	0.2769261689
7	0.260839684
8	0.2467088589
9	0.2351996634
10	0.2263994734
11	0.2188720562
12	0.2137385773
13	0.2088075209
14	0.2038707084
15	0.1996712098
16	0.1969194817
17	0.1943996452
18	0.1919436254
19	0.1900074348
20	0.1877950721
21	0.1861565273
22	0.1845347379
23	0.1834141911
24	0.182535418
25	0.1816620336
26	0.1807056004
27	0.1794639501
28	0.1782341528
29	0.177471375
30	0.1768956679
31	0.1759501002
32	0.1750314448
33	0.1747494564
34	0.1741429679
35	0.1737289566
36	0.1732514433
37	0.1724741627
38	0.1721921152
39	0.1717042264
40	0.1710047726
41	0.1702404146
42	0.1696803558
43	0.1693735955
44	0.1690614087
45	0.1687361898
46	0.1683056971
47	0.1681427799
48	0.1677066897
49	0.1674238326
50	0.1668189357
51	0.1665923566
52	0.1663007239
53	0.1661321763
54	0.1659500998
55	0.1658423286
56	0.1656061502
57	0.1654088821
58	0.1652332136
59	0.1649007187
60	0.164657354
61	0.1643181148
62	0.1640620025
63	0.1639708471
64	0.1637674657
65	0.1636158653
66	0.1631847918
67	0.1629671997
68	0.1625572062
69	0.1622115249
70	0.1620074067
71	0.1618656274
72	0.1617437463
73	0.1615990907
74	0.161437061
75	0.1611817467
76	0.1610060451
77	0.1608432416
78	0.1605522064
79	0.1604762585
80	0.1603368917
81	0.1601789733
82	0.1600048072
83	0.1597271605
84	0.1595806548
85	0.1593743748
86	0.1592730829
87	0.1590161249
88	0.1589729231
89	0.1587215373
90	0.1584980963
91	0.1583842758
92	0.1582661379
93	0.1581915144
94	0.158136992
95	0.1580840249
96	0.1578696184
97	0.157732727
98	0.157421447
99	0.1571957662
100	0.1570821012
101	0.156993605
102	0.1566983474
103	0.1565959108
104	0.1564243447
105	0.1562782806
106	0.1560449189
107	0.1557897715
108	0.155656758
109	0.1555482609
110	0.1554223126
111	0.1552963972
112	0.1551971081
113	0.1550127233
114	0.1548767492
115	0.1547571108
116	0.1544648088
117	0.1541084661
118	0.1540477768
119	0.1539294913
120	0.1538508504
121	0.1537361542
122	0.1536410648
123	0.1535700077
124	0.1535067711
125	0.1533256382
126	0.1529317696
127	0.1525977691
128	0.1524557839
129	0.1521219175
130	0.1519922289
131	0.1518767686
132	0.1514496602
133	0.1510192595
134	0.1508467854
135	0.1506733174
136	0.1504946428
137	0.1501811259
138	0.1499362158
139	0.1496836709
140	0.1495398202
141	0.1494239878
142	0.1492448959
143	0.1491419474
144	0.1491173876
145	0.1490365389
146	0.1489059571
147	0.1484858645
148	0.1484036535
149	0.1482662016
150	0.1481258226
151	0.1479738533
152	0.1478540749
153	0.1477735463
154	0.1475400795
155	0.1472866706
156	0.1468855991
157	0.1468318328
158	0.1467738828
159	0.1467066323
160	0.1466634675
161	0.1465200914
162	0.1462003628
163	0.1461155547
164	0.1459530606
165	0.1456143023
166	0.1453565641
167	0.1452496923
168	0.1450565242
169	0.1449294397
170	0.1447198974
171	0.1446673209
172	0.1444617784
173	0.1442323922
174	0.1441218403
175	0.1440282232
176	0.1439879868
177	0.1438784738
178	0.1437816085
179	0.1436708546
180	0.1435908108
181	0.1434579638
182	0.1432041018
183	0.1429910461
184	0.1427537606
185	0.1426195377
